"X","trialNum","rt","subject","condition","Focal1","Focal2","Focal3","ParticipantNum","InducerL","InducerR","ConcurrentL","ConcurrentR","choice","DataSet"
5,6,3562,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Speed-SP4-L","Speed-SP4-H","Color-RY-L","Color-RY-H",0,"Pilot"
6,7,3924,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Size-Squares-H","Size-Squares-L","Amp-Tone-H","Amp-Tone-L",0,"Pilot"
7,8,5651,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Noise-Hum-L","Noise-Hum-H","Pitch-Tone-H","Pitch-Tone-L",1,"Pilot"
8,9,2170,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Size-Diamonds-H","Size-Diamonds-L","Color-RY-L","Color-RY-H",0,"Pilot"
9,10,5177,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Pitch-Hum-L","Pitch-Hum-H","Brightness-Triangles-L","Brightness-Triangles-H",1,"Pilot"
10,11,7778,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Pitch-Piano-H","Pitch-Piano-L","Noise-Hum-H","Noise-Hum-L",0,"Pilot"
11,12,2847,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Speed-SP4-L","Speed-SP4-H","Size-Circles-L","Size-Circles-H",1,"Pilot"
12,13,4017,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Affect-EB-L","Affect-EB-H","Color-RY-H","Color-RY-L",1,"Pilot"
13,14,4472,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Affect-EB-L","Affect-EB-H","Color-RB-L","Color-RB-H",0,"Pilot"
14,15,2985,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Size-Squares-H","Size-Squares-L","Color-RY-L","Color-RY-H",1,"Pilot"
15,16,5278,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Pitch-Piano-L","Pitch-Piano-H","Brightness-Triangles-H","Brightness-Triangles-L",0,"Pilot"
16,17,2585,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Shape-BK2-L","Shape-BK2-H","Size-Circles-H","Size-Circles-L",1,"Pilot"
17,18,2712,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Brightness-Triangles-H","Brightness-Triangles-L","Size-Circles-L","Size-Circles-H",1,"Pilot"
